
****** xsim v2025.2 (64-bit)
  **** SW Build 6299465 on Fri Nov 14 12:34:56 MST 2025
  **** IP Build 6300035 on Fri Nov 14 10:48:45 MST 2025
  **** SharedData Build 6298862 on Thu Nov 13 04:50:51 MST 2025
  **** Start of session at: Tue Mar 24 16:58:04 2026
    ** Copyright 1986-2022 Xilinx, Inc. All Rights Reserved.
    ** Copyright 2022-2025 Advanced Micro Devices, Inc. All Rights Reserved.

source xsim.dir/sim_snapshot/xsim_script.tcl
# xsim {sim_snapshot} -testplusarg INPUT_HEX=/home/gary/Individual_Project/img/4x4_input.hex -testplusarg GOLDEN_OUT_HEX=/home/gary/Individual_Project/sim/expected_sobel_output.hex -testplusarg RTL_OUT_HEX=/home/gary/Individual_Project/sim/actual_output.hex -autoloadwcfg -runall
Time resolution is 1 ps
run -all
[TB] Loading input:  /home/gary/Individual_Project/img/4x4_input.hex
[TB] Loading golden: /home/gary/Individual_Project/sim/expected_sobel_output.hex
[TB] ──────── Starting Sobel kernel ────────
[TB] Array: 32x32  DataWidth: 16
[TB] Load complete
[TB] Gx complete
[TB] Gy complete
[TB] Magnitude complete
[FAIL] pixel 120 (row=3 col=24): got=0x002d  expected=0x002c
[FAIL] pixel 121 (row=3 col=25): got=0x0064  expected=0x006b
[FAIL] pixel 122 (row=3 col=26): got=0x0075  expected=0x007a
[FAIL] pixel 123 (row=3 col=27): got=0x005e  expected=0x006a
[FAIL] pixel 124 (row=3 col=28): got=0x0035  expected=0x0047
[FAIL] pixel 125 (row=3 col=29): got=0x0029  expected=0x0020
[FAIL] pixel 126 (row=3 col=30): got=0x0022  expected=0x001d
[FAIL] pixel 127 (row=3 col=31): got=0x0087  expected=0x011b
[FAIL] pixel 128 (row=4 col=0): got=0x00b2  expected=0x01a8
[FAIL] pixel 129 (row=4 col=1): got=0x000e  expected=0x0016
[FAIL] pixel 130 (row=4 col=2): got=0x000a  expected=0x000d
[FAIL] pixel 131 (row=4 col=3): got=0x000b  expected=0x000d
[FAIL] pixel 132 (row=4 col=4): got=0x0012  expected=0x0014
[FAIL] pixel 133 (row=4 col=5): got=0x0013  expected=0x001d
[FAIL] pixel 134 (row=4 col=6): got=0x000f  expected=0x001e
[FAIL] pixel 135 (row=4 col=7): got=0x0009  expected=0x0010
[FAIL] pixel 136 (row=4 col=8): got=0x0007  expected=0x000b
[FAIL] pixel 137 (row=4 col=9): got=0x0013  expected=0x0020
[FAIL] pixel 138 (row=4 col=10): got=0x0017  expected=0x002f
[FAIL] pixel 139 (row=4 col=11): got=0x0013  expected=0x0031
[FAIL] pixel 140 (row=4 col=12): got=0x0011  expected=0x0026
[FAIL] pixel 141 (row=4 col=13): got=0x000a  expected=0x000e
[FAIL] pixel 142 (row=4 col=14): got=0x0006  expected=0x0009
[FAIL] pixel 143 (row=4 col=15): got=0x0005  expected=0x000c
[FAIL] pixel 144 (row=4 col=16): got=0x000c  expected=0x0007
[FAIL] pixel 145 (row=4 col=17): got=0x0005  expected=0x000d
[FAIL] pixel 146 (row=4 col=18): got=0x000b  expected=0x0008
[FAIL] pixel 147 (row=4 col=19): got=0x0008  expected=0x0015
[FAIL] pixel 148 (row=4 col=20): got=0x0006  expected=0x0014
[FAIL] pixel 149 (row=4 col=21): got=0x0008  expected=0x0010
[FAIL] pixel 150 (row=4 col=22): got=0x001a  expected=0x0018
[FAIL] pixel 151 (row=4 col=23): got=0x004a  expected=0x0044
[FAIL] pixel 152 (row=4 col=24): got=0x0084  expected=0x0086
[FAIL] pixel 153 (row=4 col=25): got=0x0085  expected=0x0098
[FAIL] pixel 154 (row=4 col=26): got=0x004f  expected=0x0067
[FAIL] pixel 155 (row=4 col=27): got=0x001b  expected=0x0037
[FAIL] pixel 156 (row=4 col=28): got=0x001a  expected=0x001d
[FAIL] pixel 157 (row=4 col=29): got=0x0024  expected=0x001d
[FAIL] pixel 158 (row=4 col=30): got=0x001d  expected=0x0020
[FAIL] pixel 159 (row=4 col=31): got=0x007d  expected=0x0151
[FAIL] pixel 160 (row=5 col=0): got=0x00bd  expected=0x0209
